from charingCross to london
at 14:00 this tuesday
[O--------------------------------------------------]0 seconds to go.  loc not valid  51.713371 , -0.518899 .
[I-------------------------------O------------------]24 seconds to go.  loc not valid  51.7059583455 , -0.00481052173913 .
[I-------------------------------O------------------]23 seconds to go.  loc not valid  51.7059583455 , 0.00661366666667 .
[I--------------------------------O-----------------]22 seconds to go.  loc not valid  51.7059583455 , 0.0180378550725 .
[I---------------------------------O----------------]22 seconds to go.  loc not valid  51.7059583455 , 0.0294620434783 .
[I----------------------------------O---------------]23 seconds to go.  loc not valid  51.7059583455 , 0.0408862318841 .
[I----------------------------------O---------------]23 seconds to go.  loc not valid  51.7059583455 , 0.0523104202899 .
[I-----------------------------------O--------------]22 seconds to go.  loc not valid  51.7059583455 , 0.0637346086957 .
[I------------------------------------O-------------]23 seconds to go.  loc not valid  51.7059583455 , 0.0751587971014 .
[I------------------------------------O-------------]23 seconds to go.  loc not valid  51.7059583455 , 0.0865829855072 .
[I-------------------------------------O------------]22 seconds to go.  loc not valid  51.7059583455 , 0.098007173913 .
[I--------------------------------------O-----------]25 seconds to go.  loc not valid  51.7059583455 , 0.109431362319 .
[I---------------------------------------O----------]24 seconds to go.  loc not valid  51.7059583455 , 0.120855550725 .
[I---------------------------------------O----------]23 seconds to go.  loc not valid  51.7059583455 , 0.13227973913 .
[I----------------------------------------O---------]23 seconds to go.  loc not valid  51.7059583455 , 0.143703927536 .
[I-----------------------------------------O--------]23 seconds to go.  loc not valid  51.7059583455 , 0.155128115942 .
[I-----------------------------------------O--------]22 seconds to go.  loc not valid  51.7059583455 , 0.166552304348 .
[I------------------------------------------O-------]23 seconds to go.  loc not valid  51.7059583455 , 0.177976492754 .
[I-------------------------------------------O------]23 seconds to go.  loc not valid  51.7059583455 , 0.189400681159 .
[I--------------------------------------------O-----]24 seconds to go.  loc not valid  51.7059583455 , 0.200824869565 .
[I--------------------------------------------O-----]30 seconds to go.  loc not valid  51.7059583455 , 0.212249057971 .
[I---------------------------------------------O----]42 seconds to go.  loc not valid  51.7059583455 , 0.223673246377 .
[I----------------------------------------------O---]33 seconds to go.  loc not valid  51.7059583455 , 0.235097434783 .
[I----------------------------------------------O---]23 seconds to go.  loc not valid  51.7059583455 , 0.246521623188 .
[I-----------------------------------------------O--]23 seconds to go.  loc not valid  51.7059583455 , 0.257945811594 .
[I------------------------------------------------O-]22 seconds to go.  loc not valid  51.7059583455 , 0.26937 .
[OII------------------------------------------------]35 seconds to go.  loc not valid  51.6985456909 , -0.518899 .
[OII------------------------------------------------]38 seconds to go.  loc not valid  51.6985456909 , -0.507474811594 .
[IOI------------------------------------------------]29 seconds to go.  loc not valid  51.6985456909 , -0.496050623188 .
[IIO------------------------------------------------]22 seconds to go.  loc not valid  51.6985456909 , -0.484626434783 .
[IIO------------------------------------------------]23 seconds to go.  loc not valid  51.6985456909 , -0.473202246377 .
[II-O-----------------------------------------------]23 seconds to go.  loc not valid  51.6985456909 , -0.461778057971 .
[II--O----------------------------------------------]23 seconds to go.  loc not valid  51.6985456909 , -0.450353869565 .
[II---O---------------------------------------------]22 seconds to go.  loc not valid  51.6985456909 , -0.438929681159 .
[II---O---------------------------------------------]22 seconds to go.  loc not valid  51.6985456909 , -0.427505492754 .
[II----O--------------------------------------------]22 seconds to go.  loc not valid  51.6985456909 , -0.416081304348 .
[II-----O-------------------------------------------]23 seconds to go.  loc not valid  51.6985456909 , -0.404657115942 .
[II-----O-------------------------------------------]23 seconds to go.  loc not valid  51.6985456909 , -0.393232927536 .
[II------O------------------------------------------]23 seconds to go.  loc not valid  51.6985456909 , -0.38180873913 .
[II-------O-----------------------------------------]22 seconds to go.  loc not valid  51.6985456909 , -0.370384550725 .
[II--------O----------------------------------------]22 seconds to go.  loc not valid  51.6985456909 , -0.358960362319 .
[II--------O----------------------------------------]23 seconds to go.  loc not valid  51.6985456909 , -0.347536173913 .
[II---------O---------------------------------------]23 seconds to go.  loc not valid  51.6985456909 , -0.336111985507 .
[II----------O--------------------------------------]37 seconds to go.  loc not valid  51.6985456909 , -0.324687797101 .
[II----------O--------------------------------------]24 seconds to go.  loc not valid  51.6985456909 , -0.313263608696 .
[II-----------O-------------------------------------]22 seconds to go.  loc not valid  51.6985456909 , -0.30183942029 .
[II------------O------------------------------------]22 seconds to go.  loc not valid  51.6985456909 , -0.290415231884 .
[II-------------O-----------------------------------]23 seconds to go.  loc not valid  51.6985456909 , -0.278991043478 .
[II-------------O-----------------------------------]23 seconds to go.  loc not valid  51.6985456909 , -0.267566855072 .
[II--------------O----------------------------------]23 seconds to go.  loc not valid  51.6985456909 , -0.256142666667 .
[II---------------O---------------------------------]22 seconds to go.  loc not valid  51.6985456909 , -0.244718478261 .
[II---------------O---------------------------------]22 seconds to go.  loc not valid  51.6985456909 , -0.233294289855 .
[II----------------O--------------------------------]22 seconds to go.  loc not valid  51.6985456909 , -0.221870101449 .
[II-----------------O-------------------------------]22 seconds to go.  loc not valid  51.6985456909 , -0.210445913043 .
[II------------------O------------------------------]22 seconds to go.  loc not valid  51.6985456909 , -0.199021724638 .
[II------------------O------------------------------]23 seconds to go.  loc not valid  51.6985456909 , -0.187597536232 .
[II-------------------O-----------------------------]23 seconds to go.  loc not valid  51.6985456909 , -0.176173347826 .
[II--------------------O----------------------------]24 seconds to go.  loc not valid  51.6985456909 , -0.16474915942 .
[II--------------------O----------------------------]23 seconds to go.  loc not valid  51.6985456909 , -0.153324971014 .
[II---------------------O---------------------------]22 seconds to go.  loc not valid  51.6985456909 , -0.141900782609 .
[II----------------------O--------------------------]23 seconds to go.  loc not valid  51.6985456909 , -0.130476594203 .
[II-----------------------O-------------------------]24 seconds to go.  loc not valid  51.6985456909 , -0.119052405797 .
[II-----------------------O-------------------------]24 seconds to go.  loc not valid  51.6985456909 , -0.107628217391 .
[II------------------------O------------------------]23 seconds to go.  loc not valid  51.6985456909 , -0.0962040289855 .
[II-------------------------O-----------------------]22 seconds to go.  loc not valid  51.6985456909 , -0.0847798405797 .
[II-------------------------O-----------------------]22 seconds to go.  loc not valid  51.6985456909 , -0.0733556521739 .
[II--------------------------O----------------------]25 seconds to go.  loc not valid  51.6985456909 , -0.0619314637681 .
[II---------------------------O---------------------]23 seconds to go.  loc not valid  51.6985456909 , -0.0505072753623 .
[II----------------------------O--------------------]23 seconds to go.  loc not valid  51.6985456909 , -0.0390830869565 .
[II----------------------------O--------------------]22 seconds to go.  loc not valid  51.6985456909 , -0.0276588985507 .
[II-----------------------------O-------------------]22 seconds to go.  loc not valid  51.6985456909 , -0.0162347101449 .
[II------------------------------O------------------]22 seconds to go.  loc not valid  51.6985456909 , -0.00481052173913 .
[II------------------------------O------------------]22 seconds to go.  loc not valid  51.6985456909 , 0.00661366666667 .
[II-------------------------------O-----------------]22 seconds to go.  loc not valid  51.6985456909 , 0.0180378550725 .
[II--------------------------------O----------------]22 seconds to go.  loc not valid  51.6985456909 , 0.0294620434783 .
[II---------------------------------O---------------]22 seconds to go.  loc not valid  51.6985456909 , 0.0408862318841 .
[II---------------------------------O---------------]23 seconds to go.  loc not valid  51.6985456909 , 0.0523104202899 .
